,2,3,4,5,6,7,8,9,10
2,1.0,1.58,2.0,2.32,2.58,2.81,3.0,3.17,3.32
3,0.63,1.0,1.26,1.46,1.63,1.77,1.89,2.0,2.1
4,0.5,0.79,1.0,1.16,1.29,1.4,1.5,1.58,1.66
5,0.43,0.68,0.86,1.0,1.11,1.21,1.29,1.37,1.43
6,0.39,0.61,0.77,0.9,1.0,1.09,1.16,1.23,1.29
7,0.36,0.56,0.71,0.83,0.92,1.0,1.07,1.13,1.18
8,0.33,0.53,0.67,0.77,0.86,0.94,1.0,1.06,1.11
9,0.32,0.5,0.63,0.73,0.82,0.89,0.95,1.0,1.05
10,0.3,0.48,0.6,0.7,0.78,0.85,0.9,0.95,1.0
